ecole,addr,lycee,groupe_scolaire,institut
Groupe Scolaire ElMajd,"hay Sadri (Bournazel), grp. 2 rue 5",0,1,0
Groupe Scolaire ElOuissame,"lotiss. Mandarona, rue 5 n°230",0,1,0
Groupe Scolaire Eloula,"hay Moulay Rachid I - ex Bournazel, bloc 4, rue 1, n° 94",0,1,0
Groupe Scolaire Emergence,allée des Néfliers ang. allée des Citronniers,0,1,0
Groupe Scolaire Espace des Sciences,"bd de Baghdad, résid. Koutoubia imm. 1",0,1,0
Groupe Scolaire Fath Al Bari  Privé,lotiss. Farah Essalam ,0,1,0
Groupe Scolaire Georges Clémenceau,"104, rue Capitaine Thiriat ",0,1,0
Groupe Scolaire Ghaza  Prive,"36, avenue du Cdt Driss Lharti - ex A ",0,1,0
Ecole Sidi Bernoussi  Privée,"hay El Qods, lotiss. RATC",0,0,0
Ecole Siham Touiri  Privée,"lot. Hakam 2, rue 11 n°53, 1°ét.",0,0,0
Ecole Socrate,"17, rue Ghdifa bent ElMadani -ex Lefèvre ",0,0,0
Ecole Supérieure de Design (Art'com Sup),"18, rue Bachir El Ibrahimi -ex Ekdal, quartier Bel Air",0,0,0
Ecole Tajani  Privé    2,"lotiss. Zahr, rue 3 n°30, lotiss. Zoubeir",0,0,0
Ecole Tanwir,"cité Sidi Bernoussi Hay Al Azhar, n°36",0,0,0
Ecole Technique d'Arts Plastiques (E.t.a.p.),"384, bd Abdallah Ibrahim ex- Al Jamia ",0,0,0
Ecole Technique  Privée    Magistyle,"257, rue des Anglais ",0,0,0
Ecole Triangle Junior,"hay El Oulfa, résid. Essourour Farah 1, Gh 04, imm. 38",0,0,0
Ecole Welcome  Privée,"hay Moulay Abdallah, rue 310 n°60",0,0,0
Ecole Yassamine Oasis,"7, rue des Papillons ",0,0,0
Ecole Yassamine Rabat,"4 Bis, rue de la Pie ",0,0,0
Ecole Yassamine Sidi Maarouf,"lotiss. Lina, rue 26 n°32",0,0,0
Ecole Younia  privée    de coiffure,avenue Akid Allam ang. Driss ElHarti lot. 11 1°ét.,0,0,0
Ecole Zouhair,"11, avenue Mohamed Bouziane ",0,0,0
Ecoles    Al Madina Ghandi,"36 Bis, bd Ghandi, Rivièra",0,0,0
Ecoles    AlBayda,"hay Moulay Rachid II - ex Bournazel, rue 1 ang. rue 2",0,0,0
Ecoles    Camelia,"208, hay Laimoune ",0,0,0
Ecoles    l'Ambassadeur,"573, bd Tah, hay Al Fath 3 Inara, Aïn Chock",0,0,0
Ecoles    Malaïka,"5, bd Ghandi ",0,0,0
Institut  Privé    de Formation Paramédical et Informatique (I.f.p.i.),"496, av du Six Novembre 1975 - ex B, City Djamaâ",0,0,1
Institut  Privé    des Affaires et de Gestion (I.p.a.g.),"542, bd Modibo Keita ",0,0,1
Institut  Privé    des Carrières de Santé Anfa Etablissement  Privé,"282, bd Mohammed VI -ex Strasbourg, résid. Casa 1, 2°ét.",0,0,1
Institut  Privé    Ennour 2,"5, bd Yacoub El Mansour ",0,0,1
Institut  Privé    Essalmi de la Coiffure,"hay Alwalaa, sect. 1 tranche 5 imm.n°6",0,0,1
Institut  Privé    Spécialisé des Métiers du Tourisme (I.s.m.t.),"14, rue Abou Abdellah Nafii -ex Bourbon, centre Ben Omar",0,0,1
Institut  Privée    Zaki,"hay Moulay Abdallah, rue 277 n°96",0,0,1
Institut Professionnel de la Formation  Privée    (Ip. Formation),"7, rue Kadi Iass - ex Mont Cénis, 2°ét.",0,0,1
Institut Rachad,"1, avenue de Nador ",0,0,1
Institut Riad AlAli  Privé    de coiffure et d'Esthétique (Irace),"derb Riad El Ali, rue 15 n°3",0,0,1
Institut Royal d' Enseignement,"22, rue Socrate ",0,0,1
Institut Saint Dominique,"31, rue Ras El Maa - ex Narbonne ",0,0,1
Institut Scolaire les Palmiers,"76, rue Abdelhamid Bnou Badis ",0,0,1
Institut Specialisé  privé    de Santé,"65, rue Jabal Azourki ",0,0,1
Institution Abdelmoumen,"2, avenue des Pléiades, Franceville",0,0,1
Institution Abdou,"54, bd Oued Drâa (El Oulfa) ",0,0,1
Institution Addoha,"7, rue Mohamed Souktani ex Bapaume ",0,0,1
Institution Agdal Casablanca,"7, rue Ahmed Kadmiri -ex Albert Samain ",0,0,1
Institution AlAfaq,"cité Chabab, grp. 10 n°1",0,0,1
